id,category,question_hebrew,answer_hebrew,acupoint_codes,description_hebrew,pharmacopeia_hebrew,source_file,created_at,updated_at,search_vector,search_keywords,search_updated_at
966,oncology,עייפות מכימותרפיה?,"עייפות (קי חסר) - ST36, SP6, REN4.","[""SP6"",""REN4"",""ST36""]",ST36: קי | SP6: טחול | REN4: דאנטיאן,שיה ניאנג סאן (十全大补汤) - תמיכה כימותרפיה,oncology_support_hebrew_100qa.csv,2026-01-22 16:53:26.163857+00,2026-01-30 10:31:31.587105+00,"'oncology':9 'ren4':8 'sp6':7 'st36':6 'חסר':5 'מכימותרפיה':2 'עייפות':1,3 'קי':4","[""עייפות מכימותרפיה"",""מכימותרפיה"",""עייפות קי"",""עייפות"",""קי חסר"",""חסר""]",2026-01-30 10:31:31.587105+00
967,oncology,נשירת שיער מכימותרפיה?,"נשירה (דם וג'ינג חסרים) - SP10, BL17, DU20.","[""SP10"",""BL17"",""DU20""]",SP10: דם | BL17: דם | DU20: ראש,הו ז'או רן טאנג (何首乌汤) - תמיכה שיער,oncology_support_hebrew_100qa.csv,2026-01-22 16:53:26.163857+00,2026-01-30 10:31:31.587105+00,'bl17':10 'du20':11 'oncology':12 'sp10':9 'דם':5 'וג':6 'חסרים':8 'ינג':7 'מכימותרפיה':3 'נשירה':4 'נשירת':1 'שיער':2,"[""נשירה"",""חסרים"",""שיער מכימותרפיה"",""מכימותרפיה"",""נשירת"",""ינג חסרים"",""נשירה דם"",""ינג"",""שיער"",""נשירת שיער""]",2026-01-30 10:31:31.587105+00
968,oncology,כאבים מסרטן - נקודות?,"כאבים כרוניים (דם סטגנטי) - PC4, SP6, LI4, מקומי.","[""SP6"",""LI4"",""PC4""]",PC4: כאב חזה | SP6: כאב כללי | LI4: שער,תאו הון שיה וו (桃红四物汤) - כאבים סרטן,oncology_support_hebrew_100qa.csv,2026-01-22 16:53:26.163857+00,2026-01-30 10:31:31.587105+00,"'li4':10 'oncology':12 'pc4':8 'sp6':9 'דם':6 'כאבים':1,4 'כרוניים':5 'מסרטן':2 'מקומי':11 'נקודות':3 'סטגנטי':7","[""מקומי"",""כאבים"",""דם סטגנטי"",""כרוניים דם"",""כאב"",""כאבים מסרטן"",""מסרטן"",""נקודות"",""מסרטן נקודות""]",2026-01-30 10:31:31.587105+00
969,oncology,כאבי עצם מסרטן?,"כאבי עצם (כליות חסרות) - BL23, KI3, GB30.","[""BL23"",""GB30"",""KI3""]",BL23: כליות | KI3: עצמות | GB30: מפרקים,דו ז'ונג טן שוא (独活寄生汤) - כאבי עצם,oncology_support_hebrew_100qa.csv,2026-01-22 16:53:26.163857+00,2026-01-30 10:31:31.587105+00,"'bl23':8 'gb30':10 'ki3':9 'oncology':11 'חסרות':7 'כאבי':1,4 'כליות':6 'מסרטן':3 'עצם':2,5","[""כאבי עצם"",""כאבי"",""חסרות"",""עצם מסרטן"",""כליות"",""כליות חסרות"",""כאב"",""עצם"",""מסרטן""]",2026-01-30 10:31:31.587105+00
970,oncology,תמיכת חיסון בחולי סרטן?,"חיסון (טחול/ריאות) - ST36, LU9, SP6.","[""LU9"",""SP6"",""ST36""]",ST36: טחול | LU9: ריאות | SP6: חיסון,יו פינג פנג סאן (玉屏风散) - תמיכה אונקולוגית,oncology_support_hebrew_100qa.csv,2026-01-22 16:53:26.163857+00,2026-01-30 10:31:31.587105+00,"'lu9':9 'oncology':11 'sp6':10 'st36':8 'בחולי':3 'חיסון':2,5 'טחול':6 'סרטן':4 'ריאות':7 'תמיכת':1","[""תמיכת חיסון"",""תמיכת"",""חיסון"",""חיסון בחולי"",""טחול"",""טחול ריאות"",""בחולי"",""ריאות"",""חיסון טחול"",""סרטן"",""בחולי סרטן""]",2026-01-30 10:31:31.587105+00
1025,pediatrics,תינוק בוכה אחרי אכילה - קוליק?,"קוליק תינוק (קי קיבה תקוע/לחות) מטופל בפיזור קי, חימום קיבה: ST36, CV12, PC6.","[""CV12"",""ST36"",""PC6""]",ST36: מחזק קיבה תינוק | CV12: מרכז קיבה | PC6: מפסיק הקאות,שןג'ין פינג ווי סאן (参苓平胃散) - קוליק תינוקות,pediatrics_hebrew_75qa.csv,2026-01-22 16:53:26.311102+00,2026-01-30 10:31:31.587105+00,"'cv12':18 'pc6':19 'pediatrics':20 'st36':17 'אחרי':3 'אכילה':4 'בוכה':2 'בפיזור':13 'חימום':15 'לחות':11 'מטופל':12 'קוליק':5,6 'קי':8,14 'קיבה':9,16 'תינוק':1,7 'תקוע':10","[""בוכה"",""תינוק קי"",""קוליק תינוק"",""תקוע"",""בוכה אחרי"",""לחות"",""תינוק"",""אכילה"",""תינוק בוכה"",""אחרי אכילה"",""קוליק"",""אכילה קוליק"",""תקוע לחות"",""אחרי""]",2026-01-30 10:31:31.587105+00
1026,pediatrics,עצירות תינוק - מה עושים?,"עצירות תינוק (חום יבש/קי חלש) מטופלת בהזנת נוזלים, פיזור חום: ST25, SP6, Tianshu.","[""SP6"",""ST25""]",ST25: מעיים | SP6: מזין נוזלים | Tianshu: מעיים,מא זי רן טאנג (麻子仁汤) - לחות מעיים תינוק,pediatrics_hebrew_75qa.csv,2026-01-22 16:53:26.311102+00,2026-01-30 10:31:31.587105+00,"'pediatrics':19 'sp6':17 'st25':16 'tianshu':18 'בהזנת':12 'חום':7,15 'חלש':10 'יבש':8 'מה':3 'מטופלת':11 'נוזלים':13 'עושים':4 'עצירות':1,5 'פיזור':14 'קי':9 'תינוק':2,6","[""בהזנת"",""מה עושים"",""תינוק מה"",""עצירות"",""תינוק חום"",""עצירות תינוק"",""עושים"",""חום"",""פיזור חום"",""פיזור"",""תינוק""]",2026-01-30 10:31:31.587105+00
1027,pediatrics,הקאות תכופות אצל תינוק?,"הקאות (קיבה קי חלש/חום) מטופלות בהרגעת קיבה: PC6, ST36, CV12.","[""CV12"",""PC6"",""ST36""]",PC6: מפסיק הקאות | ST36: מחזק קיבה | CV12: מרכז קיבה,באן שיה טאנג (半夏汤) - מפסיק הקאות תינוק,pediatrics_hebrew_75qa.csv,2026-01-22 16:53:26.311102+00,2026-01-30 10:31:31.587105+00,"'cv12':15 'pc6':13 'pediatrics':16 'st36':14 'אצל':3 'בהרגעת':11 'הקאות':1,5 'חום':9 'חלש':8 'מטופלות':10 'קי':7 'קיבה':6,12 'תינוק':4 'תכופות':2","[""חלש"",""תכופות אצל"",""אצל"",""מטופלות בהרגעת"",""אצל תינוק"",""קיבה קי"",""קי חלש"",""תכופות"",""הקאות"",""הקאות תכופות"",""מטופלות"",""תינוק""]",2026-01-30 10:31:31.587105+00
1028,pediatrics,נשיאת שיניים - כאבים?,"נשיאת שיניים (חום עליון/רוח) מטופלת בפיזור חום, הרגעה: ST6, LI4, ST7.","[""ST6"",""ST7"",""LI4""]",ST6: לסתות | LI4: שער פנים | ST7: לסתות,צינג פנג סאן (清风散) - חום נשיאת שיניים,pediatrics_hebrew_75qa.csv,2026-01-22 16:53:26.311102+00,2026-01-30 10:31:31.587105+00,"'li4':14 'pediatrics':16 'st6':13 'st7':15 'בפיזור':10 'הרגעה':12 'חום':6,11 'כאבים':3 'מטופלת':9 'נשיאת':1,4 'עליון':7 'רוח':8 'שיניים':2,5","[""רוח מטופלת"",""בפיזור חום"",""חום עליון"",""חום הרגעה"",""בפיזור"",""כאבים"",""שיניים כאבים"",""כאב"",""שיניים"",""נשיאת"",""נשיאת שיניים""]",2026-01-30 10:31:31.587105+00
1029,pediatrics,גדילה איטית - חיזוק?,"גדילה איטית (כליות חלשות) מטופלת בחיזוק כליות: BL23, KI3, DU4.","[""DU4"",""BL23"",""KI3""]",BL23: כליות ילד | KI3: גדילה | DU4: חיוניות,שו סין ג'י זי טאנג (熟地鸡子汤) - גדילה ילדים,pediatrics_hebrew_75qa.csv,2026-01-22 16:53:26.311102+00,2026-01-30 10:31:31.587105+00,"'bl23':11 'du4':13 'ki3':12 'pediatrics':14 'איטית':2,5 'בחיזוק':9 'גדילה':1,4 'חיזוק':3 'חלשות':7 'כליות':6,10 'מטופלת':8","[""איטית"",""בחיזוק"",""חיזוק"",""גדילה"",""מטופלת בחיזוק"",""כליות חלשות"",""גדילה איטית"",""איטית חיזוק""]",2026-01-30 10:31:31.587105+00
1030,pediatrics,שיעול ילד חורף - טיפול?,"שיעול יבש חורף (ריאות יבשות) מטופל בהזנת ריאות: LU9, KI6, BL13.","[""LU9"",""KI6"",""BL13""]",LU9: מזין ריאות | KI6: יין | BL13: מחזק ריאות,מאי מנג טאנג (麦门冬汤) - שיעול יבש ילדים,pediatrics_hebrew_75qa.csv,2026-01-22 16:53:26.311102+00,2026-01-30 10:31:31.587105+00,"'bl13':15 'ki6':14 'lu9':13 'pediatrics':16 'בהזנת':11 'חורף':3,7 'טיפול':4 'יבש':6 'יבשות':9 'ילד':2 'מטופל':10 'ריאות':8,12 'שיעול':1,5","[""בהזנת"",""טיפול"",""שיעול"",""יבש חורף"",""יבשות"",""חורף טיפול"",""ריאות יבשות"",""שיעול יבש"",""ילד חורף"",""חורף"",""ילד"",""שיעול ילד""]",2026-01-30 10:31:31.587105+00
1031,pediatrics,שיעול עם ליחה צהובה?,"שיעול ליחה צהובה (חום ריאות) מטופל בניקוי חום: LU5, LI11, LU1.","[""LU5"",""LU1"",""LI11""]",LU5: מנקז חום ריאות | LI11: מפזר חום | LU1: ריאות,מא שינג גוונג טאנג (麻杏石甘汤) - שיעול חום ילדים,pediatrics_hebrew_75qa.csv,2026-01-22 16:53:26.311102+00,2026-01-30 10:31:31.587105+00,"'li11':14 'lu1':15 'lu5':13 'pediatrics':16 'בניקוי':11 'חום':8,12 'ליחה':3,6 'מטופל':10 'עם':2 'צהובה':4,7 'ריאות':9 'שיעול':1,5","[""חום ריאות"",""ריאות מטופל"",""צהובה"",""ליחה"",""שיעול עם"",""ליחה צהובה"",""עם ליחה"",""שיעול"",""בניקוי חום""]",2026-01-30 10:31:31.587105+00
1032,pediatrics,ילד מתעורר בלילה?,"ילד מתעורר (לב/כבד לא מאוזנים) מטופל בהרגעה: HT7, LV3, ANMIAN.","[""HT7"",""LV3""]",HT7: מרגיע שינה | LV3: מרגיע כבד | ANMIAN: שינה,סואן זאו רן טאנג (酸枣仁汤) - שינה ילדים,pediatrics_hebrew_75qa.csv,2026-01-22 16:53:26.311102+00,2026-01-30 10:31:31.587105+00,"'anmian':14 'ht7':12 'lv3':13 'pediatrics':15 'בהרגעה':11 'בלילה':3 'ילד':1,4 'כבד':7 'לא':8 'לב':6 'מאוזנים':9 'מטופל':10 'מתעורר':2,5","[""מתעורר"",""מטופל בהרגעה"",""לב"",""עור"",""ילד מתעורר"",""מתעורר בלילה"",""ילד"",""מתעורר לב"",""בלילה""]",2026-01-30 10:31:31.587105+00
1033,pediatrics,פריחה אדומה אצל ילד?,"פריחה אדומה (רוח חום) מטופלת בפיזור רוח חום: LI11, SP10, LU11.","[""LU11"",""SP10"",""LI11""]",LI11: מפזר חום | SP10: מנקה דם | LU11: ידיים ילד,סיאו פנג ז'ינג סאן (消风散) - פריחה ילדים,pediatrics_hebrew_75qa.csv,2026-01-22 16:53:26.311102+00,2026-01-30 10:31:31.587105+00,"'li11':13 'lu11':15 'pediatrics':16 'sp10':14 'אדומה':2,6 'אצל':3 'בפיזור':10 'חום':8,12 'ילד':4 'מטופלת':9 'פריחה':1,5 'רוח':7,11","[""אצל"",""אצל ילד"",""פריחה"",""חום מטופלת"",""בפיזור רוח"",""בפיזור"",""אדומה רוח"",""פריחה אדומה"",""אדומה אצל"",""אדומה"",""ילד""]",2026-01-30 10:31:31.587105+00
1088,pregnancy,בחילות בוקר - נקודות בטוחות?,"בחילות הריון (קיבה קי תקוע) מטופלות ב-PC6, ST36, CV12. בטוחות משבוע 12.","[""CV12"",""PC6"",""ST36""]",PC6: מפסיק בחילות הריון | ST36: מחזק קיבה | CV12: מרגיע קיבה,אנג'ליקה תינוקת (Angelica sinensis) - בטוחה בהריון,pregnancy_hebrew_75qa.csv,2026-01-22 16:53:26.44527+00,2026-01-30 10:31:31.587105+00,"'12':18 'cv12':15 'pc6':13 'pregnancy':19 'st36':14 'ב':12 'ב-pc6':11 'בוקר':2 'בחילות':1,5 'בטוחות':4,16 'הריון':6 'מטופלות':10 'משבוע':17 'נקודות':3 'קי':8 'קיבה':7 'תקוע':9","[""תקוע מטופלות"",""ב בטוחות"",""בטוחות משבוע"",""תקוע"",""בחילות בוקר"",""בטוחות"",""בוקר נקודות"",""בוקר"",""נקודות"",""נקודות בטוחות"",""בחילות"",""מטופלות""]",2026-01-30 10:31:31.587105+00
1089,pregnancy,הקאות חמורות - תוספת?,"הקאות חמורות - PC6, SP6, ST36 + תזונה קלה.","[""SP6"",""PC6"",""ST36""]",PC6: בחילות | SP6: מזין טחול | ST36: קיבה,באן שיה טאנג (半夏汤) - הקאות הריון,pregnancy_hebrew_75qa.csv,2026-01-22 16:53:26.44527+00,2026-01-30 10:31:31.587105+00,"'pc6':6 'pregnancy':11 'sp6':7 'st36':8 'הקאות':1,4 'חמורות':2,5 'קלה':10 'תוספת':3 'תזונה':9","[""הקאות חמורות"",""תזונה"",""תוספת"",""חמורות"",""הקאות"",""תזונה קלה"",""חמורות תוספת""]",2026-01-30 10:31:31.587105+00
1090,pregnancy,כאבי גב בהריון - נקודות?,"כאבי גב (רחם כבד/כליות חלשות) - BL23, BL40, GB30, Du4.","[""BL40"",""BL23"",""GB30""]",BL23: מחזק כליות | BL40: גב תחתון | GB30: ישבן,דו ז'ונג טן שוא טאנג (独活寄生汤) - כאבי גב הריון,pregnancy_hebrew_75qa.csv,2026-01-22 16:53:26.44527+00,2026-01-30 10:31:31.587105+00,"'bl23':11 'bl40':12 'du4':14 'gb30':13 'pregnancy':15 'בהריון':3 'גב':2,6 'חלשות':10 'כאבי':1,5 'כבד':8 'כליות':9 'נקודות':4 'רחם':7","[""כאבי"",""גב"",""כליות"",""כליות חלשות"",""גב רחם"",""כאב"",""בהריון נקודות"",""גב בהריון"",""כאבי גב"",""נקודות"",""בהריון""]",2026-01-30 10:31:31.587105+00
1091,pregnancy,בצקות רגליים בהריון?,"בצקות (טחול חלש/לחות) - SP6, SP9, ST36, REN9.","[""SP6"",""ST36"",""REN9"",""SP9""]",SP6: מנקז לחות | SP9: טחול | ST36: מחזק טחול,פינג ווי סאן (平胃散) - בצקות הריון,pregnancy_hebrew_75qa.csv,2026-01-22 16:53:26.44527+00,2026-01-30 10:31:31.587105+00,"'pregnancy':12 'ren9':11 'sp6':8 'sp9':9 'st36':10 'בהריון':3 'בצקות':1,4 'חלש':6 'טחול':5 'לחות':7 'רגליים':2","[""חלש"",""רגליים בהריון"",""רגל"",""לחות"",""בצקות רגליים"",""טחול"",""רגליים"",""בצקות טחול"",""חלש לחות"",""בהריון"",""בצקות""]",2026-01-30 10:31:31.587105+00
1092,pregnancy,עצירות בהריון - בטוח?,"עצירות (חום יבש) - ST25, SP6, Tianshu + שמן זית.","[""SP6"",""ST25""]",ST25: מעיים | SP6: נוזלים | Tianshu: עצירות,מא זי רן טאנג (麻子仁汤) - בטוח בהריון,pregnancy_hebrew_75qa.csv,2026-01-22 16:53:26.44527+00,2026-01-30 10:31:31.587105+00,"'pregnancy':12 'sp6':8 'st25':7 'tianshu':9 'בהריון':2 'בטוח':3 'זית':11 'חום':5 'יבש':6 'עצירות':1,4 'שמן':10","[""בהריון בטוח"",""עצירות"",""בטוח"",""עצירות חום"",""חום"",""עצירות בהריון"",""יבש"",""שמן זית"",""בהריון""]",2026-01-30 10:31:31.587105+00
1123,skin,מה גורם לפריחה אדומה פתאומית?,"פריחה אדומה פתאומית (מזון רוח חום) נגרמת מפלישת רוח חיצונית עם חום. מלווה בגרד, חום, צמא.","[""LI4"",""GB20"",""LI11""]",LI11: מפזר חום ורוח | LI4: מפזר רוח חיצונית | GB20: מפזר רוח וחום ראש,סנג'יאן פי פי סאן (防风黄芩清肺饮) - מפזר רוח ומקרר ריאות,skin_diseases_hebrew_75qa.csv,2026-01-22 16:53:26.601654+00,2026-01-30 10:31:31.587105+00,"'skin':22 'אדומה':4,7 'בגרד':19 'גורם':2 'חום':11,17,20 'חיצונית':15 'לפריחה':3 'מה':1 'מזון':9 'מלווה':18 'מפלישת':13 'נגרמת':12 'עם':16 'פריחה':6 'פתאומית':5,8 'צמא':21 'רוח':10,14","[""חיצונית עם"",""גורם"",""לפריחה אדומה"",""פתאומית"",""אדומה פתאומית"",""מלווה בגרד"",""מפלישת רוח"",""חום"",""אדומה"",""מה גורם"",""לפריחה"",""גורם לפריחה""]",2026-01-30 10:31:31.587105+00
1124,skin,איך מטפלים בגרד חזק בגלל רוח?,"גרד נודד, גרוע מרוח (רוח תוקפת עור) מטופל בפיזור רוח: LI4, GB20, BL2. מרגיע רוח פנימית: DU24.","[""BL2"",""DU24"",""LI4"",""GB20""]",LI4: שער רוח ימני | GB20: מפזר רוח ראש | BL2: פותח עיניים ומפזר רוח,צ'ו פי סאן (藿香正气散) - מפזר רוח ומחזק טחול,skin_diseases_hebrew_75qa.csv,2026-01-22 16:53:26.601654+00,2026-01-30 10:31:31.587105+00,"'bl2':19 'du24':23 'gb20':18 'li4':17 'skin':24 'איך':1 'בגלל':5 'בגרד':3 'בפיזור':15 'גרד':7 'גרוע':9 'חזק':4 'מטופל':14 'מטפלים':2 'מרגיע':20 'מרוח':10 'נודד':8 'עור':13 'פנימית':22 'רוח':6,11,16,21 'תוקפת':12","[""בגלל"",""בגרד חזק"",""תוקפת"",""גרוע"",""מטפלים"",""איך"",""עור"",""תוקפת עור"",""חזק"",""גרד"",""איך מטפלים"",""חזק בגלל"",""בגלל רוח"",""גרד נודד"",""רוח"",""מטפלים בגרד"",""בגרד""]",2026-01-30 10:31:31.587105+00
1125,skin,מה סימני אקנה מחום לחות?,"אקנה אדום, מוגלתי, כואב (חום לחות ריאות/קיבה) עם פצעונים מלאי מוגלה, צמא, צואה צהובה.","[""SP10"",""ST40"",""LI11""]",LI11: מפזר חום עליון | ST40: מנקז לחות | SP10: מפזר דם ומנקז חום,הו וונג טאנג (黄连解毒汤) - מקרר חום רטוב,skin_diseases_hebrew_75qa.csv,2026-01-22 16:53:26.601654+00,2026-01-30 10:31:31.587105+00,"'skin':21 'אדום':7 'אקנה':3,6 'חום':10 'כואב':9 'לחות':5,11 'מה':1 'מוגלה':17 'מוגלתי':8 'מחום':4 'מלאי':16 'סימני':2 'עם':14 'פצעונים':15 'צהובה':20 'צואה':19 'צמא':18 'קיבה':13 'ריאות':12","[""מה סימני"",""מחום לחות"",""אקנה מחום"",""מוגלה"",""לחות"",""מחום"",""מלאי"",""עם פצעונים"",""סימני"",""אקנה אדום"",""חום"",""אקנה"",""סימני אקנה""]",2026-01-30 10:31:31.587105+00
1126,skin,איך אקזמה אדומה כואבת?,"אקזמה אדומה, נפוחה, מוגלת (חום רטוב עור) מטופלת בפיזור חום, ניקוז לחות, ניקוי דם.","[""LV3"",""SP10"",""LI11""]",SP10: מנקה דם | LI11: מפזר חום | LV3: מפזר חום ירוק,לונג דאן שיה גאו טאנג (龙胆泻肝汤) - מנקז חום ירוק רטוב,skin_diseases_hebrew_75qa.csv,2026-01-22 16:53:26.601654+00,2026-01-30 10:31:31.587105+00,"'skin':19 'אדומה':3,6 'איך':1 'אקזמה':2,5 'בפיזור':13 'דם':18 'חום':9,14 'כואבת':4 'לחות':16 'מוגלת':8 'מטופלת':12 'ניקוז':15 'ניקוי':17 'נפוחה':7 'עור':11 'רטוב':10","[""אדומה כואבת"",""כואב"",""חום רטוב"",""איך"",""עור"",""אקזמה אדומה"",""אקזמה"",""לחות ניקוי"",""חום"",""אדומה"",""כואבת"",""איך אקזמה""]",2026-01-30 10:31:31.587105+00
1127,skin,מה סימני פצעים סגולים כרוניים?,"פצעים סגולים, כהים, לא מחלימים (דם סטגנטי) עם כאב קבוע, עור כהה, שפתיים סגולות.","[""SP10"",""BL17"",""LI4""]",SP10: מפזר דם סטגנטי | BL17: נקודת דם עיקרית | LI4: מפעיל קי ודם,תאו הון סואן טאנג (桃红四物汤) - מפעיל דם ומזין דם,skin_diseases_hebrew_75qa.csv,2026-01-22 16:53:26.601654+00,2026-01-30 10:31:31.587105+00,"'skin':20 'דם':11 'כאב':14 'כהה':17 'כהים':8 'כרוניים':5 'לא':9 'מה':1 'מחלימים':10 'סגולות':19 'סגולים':4,7 'סטגנטי':12 'סימני':2 'עור':16 'עם':13 'פצעים':3,6 'קבוע':15 'שפתיים':18","[""מה סימני"",""סגולים כרוניים"",""שפתיים"",""עור"",""סגולים כהים"",""דם סטגנטי"",""סימני פצעים"",""פצעים סגולים"",""פצעים"",""כרוניים"",""סימני"",""סגולים""]",2026-01-30 10:31:31.587105+00
1128,skin,איך מטפלים בצלקות כהות?,"צלקות כהות, כתמים (דם סטגנטי אחרי פציעה) מטופלים בפעילות דם, ניקוי רעלים: SP10, BL17, LV3.","[""LV3"",""SP10"",""BL17"",""ST36""]",LV3: מפעיל קי ודם | SP10: מנקה דם | ST36: מחזק קי,שיה מין גאר או טאנג (下瘀血汤) - מנקה דם סטגנטי,skin_diseases_hebrew_75qa.csv,2026-01-22 16:53:26.601654+00,2026-01-30 10:31:31.587105+00,"'bl17':18 'lv3':19 'skin':20 'sp10':17 'אחרי':10 'איך':1 'בפעילות':13 'בצלקות':3 'דם':8,14 'כהות':4,6 'כתמים':7 'מטופלים':12 'מטפלים':2 'ניקוי':15 'סטגנטי':9 'פציעה':11 'צלקות':5 'רעלים':16","[""כתמים"",""בצלקות"",""מטפלים בצלקות"",""אחרי פציעה"",""איך"",""מטפלים"",""דם סטגנטי"",""איך מטפלים"",""כהות"",""ניקוי"",""בצלקות כהות"",""צלקות""]",2026-01-30 10:31:31.587105+00
1129,skin,מה גורם לעור יבש ומסדק?,"עור יבש, מסדק, קשקשת (יין יבש עור) מחסר יין, חום יבש. פה יבש, שיער שביר.","[""KI6"",""SP6"",""LI4""]",KI6: מזין יין כליות | SP6: מזין יין ודם | LI4: מזין נוזלים,מאי מנג ג'יאנג טאנג (麦门冬汤) - מזין יין ריאות,skin_diseases_hebrew_75qa.csv,2026-01-22 16:53:26.601654+00,2026-01-30 10:31:31.587105+00,"'skin':21 'גורם':2 'ומסדק':5 'חום':15 'יבש':4,7,11,16,18 'יין':10,14 'לעור':3 'מה':1 'מחסר':13 'מסדק':8 'עור':6,12 'פה':17 'קשקשת':9 'שביר':20 'שיער':19","[""גורם"",""לעור"",""ומסדק"",""עור"",""שביר"",""יבש ומסדק"",""יין"",""פה יבש"",""לעור יבש"",""חום"",""יבש"",""מה גורם"",""גורם לעור""]",2026-01-30 10:31:31.587105+00
1130,skin,איך מטפלים בקשקשת יבשה?,"קשקשת יבשה, עור ראש יבש (יין ודם חסרים) מטופלים בהזנת יין ודם, לחות עור.","[""BL23"",""GV20"",""SP6""]",GV20: מרגיע רוח ומזין | BL23: מחזק כליות | SP6: מזין דם,סיאו פנג טאנג (消风散) - מפזר רוח ומזין דם,skin_diseases_hebrew_75qa.csv,2026-01-22 16:53:26.601654+00,2026-01-30 10:31:31.587105+00,"'skin':19 'איך':1 'בהזנת':14 'בקשקשת':3 'ודם':11,16 'חסרים':12 'יבש':9 'יבשה':4,6 'יין':10,15 'לחות':17 'מטופלים':13 'מטפלים':2 'עור':7,18 'קשקשת':5 'ראש':8","[""בהזנת"",""איך"",""מטפלים"",""בקשקשת"",""מטפלים בקשקשת"",""בקשקשת יבשה"",""קשקשת יבשה"",""עור"",""חסרים מטופלים"",""ודם לחות"",""איך מטפלים"",""יבשה""]",2026-01-30 10:31:31.587105+00
1131,skin,מה סימני אקזמה לחה?,"אקזמה לחה, נפוחה, מוגלת (לחות רוח) עם נוזלים צהובים, גרד גרוע מלחות.","[""LI11"",""ST40"",""SP9""]",SP9: מנקז לחות טחול | ST40: מנקז לחות חזה | LI11: מפזר חום,ארג'ואו ג'יאנג צ'ואן (二陈汤) - מייבש לחות ומפזר פתוגנים,skin_diseases_hebrew_75qa.csv,2026-01-22 16:53:26.601654+00,2026-01-30 10:31:31.587105+00,"'skin':17 'אקזמה':3,5 'גרד':14 'גרוע':15 'לחה':4,6 'לחות':9 'מה':1 'מוגלת':8 'מלחות':16 'נוזלים':12 'נפוחה':7 'סימני':2 'עם':11 'צהובים':13 'רוח':10","[""מה סימני"",""גרוע"",""לחות"",""סימני אקזמה"",""אקזמה לחה"",""לחה"",""גרוע מלחות"",""אקזמה"",""נוזלים צהובים"",""סימני"",""נפוחה""]",2026-01-30 10:31:31.587105+00
1132,skin,איך פסוריאזיס לח?,"פסוריאזיס לח עם קשקה צהובה, נפוח (לחות חום) מטופל בניקוז לחות, פיזור חום.","[""SP10"",""ST40"",""LI11""]",LI11: מפזר חום | ST40: מנקז לחות | SP10: מנקה דם,הו וונג טאנג (黄连解毒汤) - מקרר חום רטוב,skin_diseases_hebrew_75qa.csv,2026-01-22 16:53:26.601654+00,2026-01-30 10:31:31.587105+00,"'skin':17 'איך':1 'בניקוז':13 'חום':11,16 'לח':3,5 'לחות':10,14 'מטופל':12 'נפוח':9 'עם':6 'פיזור':15 'פסוריאזיס':2,4 'צהובה':8 'קשקה':7","[""איך פסוריאזיס"",""איך"",""פסוריאזיס"",""בניקוז"",""חום"",""קשקה צהובה"",""נפוח לחות"",""פיזור חום"",""פסוריאזיס לח""]",2026-01-30 10:31:31.587105+00
1133,skin,מה מטפל בפריחה מוגלת?,"פריחה מוגלת, אדומה (רעלים חום) מטופלת בפיזור רעלים, ניקוי חום: LI11, SP10, LV3.","[""LV3"",""SP10"",""LI11""]",LI11: מפזר חום ורעלים | SP10: מנקה דם | LV3: מפזר חום ירוק,וואנג ליאן ג'יאה דו טאנג (黄连解毒汤) - מקרר חום רעיל,skin_diseases_hebrew_75qa.csv,2026-01-22 16:53:26.601654+00,2026-01-30 10:31:31.587105+00,"'li11':15 'lv3':17 'skin':18 'sp10':16 'אדומה':7 'בפיזור':11 'בפריחה':3 'חום':9,14 'מה':1 'מוגלת':4,6 'מטופלת':10 'מטפל':2 'ניקוי':13 'פריחה':5 'רעלים':8,12","[""מוגלת"",""בפיזור רעלים"",""פריחה מוגלת"",""פריחה"",""חום מטופלת"",""בפריחה"",""בפריחה מוגלת"",""מטפל בפריחה"",""מטפל"",""מה מטפל""]",2026-01-30 10:31:31.587105+00
1134,skin,אקנה - גישה מזרח/מערב,"אקנה (חום לחות קיבה/ריאות) מטופל בפיזור חום, ניקוז לחות. מערב: אנטיביוטיקה עלולה לפגוע בטחול.","[""SP6"",""LI11"",""ST44""]",ST44: מפזר חום קיבה | LI11: מפזר חום | SP6: מנקז לחות,מינוציקלין (מערב) - עלול לפגוע במיקרוביום; שיטאקה (שיטאקה) - מקרר חום,skin_diseases_hebrew_75qa.csv,2026-01-22 16:53:26.601654+00,2026-01-30 10:31:31.587105+00,"'skin':20 'אנטיביוטיקה':16 'אקנה':1,5 'בטחול':19 'בפיזור':11 'גישה':2 'חום':6,12 'לחות':7,14 'לפגוע':18 'מזרח':3 'מטופל':10 'מערב':4,15 'ניקוז':13 'עלולה':17 'קיבה':8 'ריאות':9","[""ריאות מטופל"",""גישה מזרח"",""מזרח מערב"",""מערב"",""גישה"",""לפגוע"",""אקנה גישה"",""לחות מערב"",""חום"",""אקנה"",""מזרח"",""מטופל""]",2026-01-30 10:31:31.587105+00
